@CO	shape:(4851, 10)
@CO	dtype:float64
VALUE_0	VALUE_1	VALUE_2	VALUE_3	VALUE_4	VALUE_5	VALUE_6	VALUE_7	VALUE_8	VALUE_9
0.045257968418101806	0.03558029543508691	0.039377528201954864	0.0484981898298793	0.043605424865345084	0.03188076191575216	0.009920921158379198	0.04964009787424021	0.03979990400125675	0.03669415018983295
0.07212957125373054	0.051193656896264525	0.06719575720034587	0.09005262986118688	0.061142536400701074	0.09290324691843108	0.02544792919282008	0.07850411408993473	0.09131120838981203	0.06426160384525981
0.059400822233148874	0.043904355395196215	0.05379732548473841	0.07811846535696006	0.05831198133910557	0.05640423570891024	0.016875158201655038	0.05929047891325342	0.06518412535781892	0.05080213408155832
0.07092509362453189	0.050605864149049384	0.06527372536634962	0.07263920401117287	0.05743563893559814	0.06299408289393935	0.019477945123067733	0.07511746627635225	0.07586350606596981	0.05418621918662283
0.048576543266381306	0.03876713797079845	0.04643856094743367	0.05913484462900385	0.041051051122018935	0.04190124036502232	0.011846107293063745	0.04826854166714891	0.054097840545467804	0.04234850086402162
0.04553056459114781	0.038153034256235854	0.04595238335980302	0.06196384610660568	0.04667930759485607	0.04460893657109183	0.012987081247571319	0.057932750645383196	0.05274484540591807	0.04109287559431046
0.06295926766052104	0.051448248744127886	0.05761191564957132	0.07089725859652637	0.051776860768474764	0.04726713084589418	0.018575484187689277	0.07119152125454609	0.06991488091230354	0.05524444311739358
0.02759723780411177	0.026521965270144433	0.03167423937503669	0.035930168791980854	0.036454233398831686	0.018530813184398708	0.005869714473250537	0.03162647164850254	0.02996643360517831	0.022559130414017713
0.03697387349756134	0.02923239650639481	0.03897103967755614	0.04012802356068702	0.04365879049796898	0.029388226495186007	0.007254649511214532	0.03991193860982111	0.04521047618964229	0.025066188576993633
0.03344744782103877	0.030996357748041402	0.03319502711939753	0.041564961116735535	0.038831153153212596	0.02313294349980218	0.007053817641325553	0.0378581271169063	0.03745644864102058	0.025868719097095465
0.04004408631257362	0.034120150563278245	0.04881309107488823	0.048770492281632	0.0463503509168486	0.03177182759022806	0.009818837802108593	0.05311121109516362	0.05111707651197233	0.03520611640166377
0.05741853805659052	0.04426833430395745	0.050908153935127515	0.055945930636610484	0.04943460513455881	0.04300804032686797	0.01452855168071449	0.061394815765134406	0.06274350300762291	0.045706670549975334
0.06817218946547324	0.05254150166040893	0.06185718152641806	0.07052023854440517	0.051464375338309595	0.050696723830273016	0.01683679804273154	0.072945388462423	0.06700756652981321	0.05481575720244362
0.05534752826866841	0.03957891200618687	0.0597795999606681	0.06486260057737829	0.04806721164229254	0.04206930004386649	0.013983897932674507	0.06438463740298192	0.05422561011966889	0.044937500280766325
0.03963165314466209	0.02937510664053077	0.036636708090298994	0.04330941864655928	0.04158796021099962	0.03020575926285517	0.009201655521380105	0.041428118375483394	0.03968064104129014	0.032252572608045205
0.044369122284875336	0.03629448016849711	0.04357064250077221	0.04422910999431553	0.040122313812657115	0.030391549735951772	0.010211332915800732	0.04312794978961399	0.04073456301539847	0.0350019811097673
0.06741308909095291	0.043640976770394746	0.05497422105348016	0.07025774274900842	0.056606019597560835	0.0498483696070367	0.015186764452244468	0.058588410498055535	0.061146860322309496	0.05380261774064758
0.029885697785016804	0.0261159169692691	0.034714491843701525	0.03477685535812192	0.038204452855465774	0.01995021648235584	0.007262324384701969	0.041838263636032734	0.033400925430615735	0.025442165676977775
0.03563861093219367	0.026591041815803147	0.030170631964025293	0.037814989681450334	0.037529028042583276	0.02371870657883247	0.007763188196631559	0.03456546866825986	0.035018276855269544	0.02648551004294761
0.05669048539430961	0.03669775830450899	0.04563830173968481	0.057158670747142155	0.04496666500715073	0.03864417953031018	0.012041725098405261	0.06586458382613682	0.051164292784440346	0.04339277108248506
0.10417050544633259	0.08219856076615047	0.09939996318821384	0.13041783941162186	0.08335355362371276	0.1504188335085341	0.0400795548382353	0.10729709285008313	0.1210794676061381	0.09486685255135843
0.05640130376812798	0.04511981809811446	0.05444970351450784	0.07093629358625661	0.05448050748137672	0.05839906410120576	0.015082734300546323	0.06512261638735053	0.06252696790181093	0.051172809455033545
0.03907026275869235	0.03137792684942656	0.0390555121686667	0.047323691914094954	0.04037342068253978	0.03141206892103531	0.00968227566976013	0.04256612461516198	0.04566171234406227	0.03149250837277491
